DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,28/10/2009,10,0.38, 
DATASET_01_2009_2017_PA,28/10/2009,11,0.4, 
DATASET_01_2009_2017_PA,28/10/2009,12,0.43, 
DATASET_01_2009_2017_PA,28/10/2009,13,0.48, 
DATASET_01_2009_2017_PA,28/10/2009,14,0.51, 
DATASET_01_2009_2017_PA,28/10/2009,15,0.56, 
DATASET_01_2009_2017_PA,28/10/2009,16,0.6, 
DATASET_01_2009_2017_PA,28/10/2009,17,0.68, 
DATASET_01_2009_2017_PA,28/10/2009,18,0.75, 
DATASET_01_2009_2017_PA,28/10/2009,19,0.89, 
DATASET_01_2009_2017_PA,28/10/2009,20,1.04, 
DATASET_01_2009_2017_PA,28/10/2009,21,1.19, 
DATASET_01_2009_2017_PA,28/10/2009,22,1.34, 
DATASET_01_2009_2017_PA,28/10/2009,23,1.45, 
DATASET_01_2009_2017_PA,28/10/2009,24,1.54, 
DATASET_01_2009_2017_PA,01/11/2009,13,0.76, 
DATASET_01_2009_2017_PA,01/11/2009,14,0.84, 
DATASET_01_2009_2017_PA,01/11/2009,15,0.88, 
DATASET_01_2009_2017_PA,01/11/2009,16,0.88, 
DATASET_01_2009_2017_PA,01/11/2009,17,0.88, 
DATASET_01_2009_2017_PA,01/11/2009,18,0.85, 
DATASET_01_2009_2017_PA,01/11/2009,19,0.81, 
DATASET_01_2009_2017_PA,01/11/2009,20,0.78, 
DATASET_01_2009_2017_PA,01/11/2009,21,0.74, 
DATASET_01_2009_2017_PA,01/11/2009,22,0.68, 
DATASET_01_2009_2017_PA,01/11/2009,23,0.65, 
DATASET_01_2009_2017_PA,01/11/2009,24,0.66, 
